<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RI.MICEX10INDEX;D;20090605;000000;2495.7600000;2533.6500000;2401.5700000;2470.6100000;54644154915
RI.MICEX10INDEX;D;20090608;000000;2438.9000000;2449.5400000;2361.9900000;2410.7600000;33718655291
RI.MICEX10INDEX;D;20090609;000000;2428.1000000;2462.9300000;2386.8200000;2417.3900000;33954409288
RI.MICEX10INDEX;D;20090610;000000;2469.3200000;2491.0700000;2424.7600000;2447.0900000;42249129822
RI.MICEX10INDEX;D;20090611;000000;2456.1500000;2466.7500000;2385.9700000;2447.3200000;188448208836
RI.MICEX10INDEX;D;20090615;000000;2429.3900000;2429.3900000;2278.5500000;2278.9000000;14150541054
RI.MICEX10INDEX;D;20090616;000000;2252.8500000;2374.1900000;2250.4800000;2353.2400000;23396336109
RI.MICEX10INDEX;D;20090617;000000;2331.9600000;2357.7200000;2200.7000000;2209.0500000;25507797920
RI.MICEX10INDEX;D;20090618;000000;2232.1600000;2249.7500000;2079.1600000;2186.3100000;28778449018
RI.MICEX10INDEX;D;20090619;000000;2192.9300000;2210.2700000;2145.2400000;2167.2400000;22560814761
RI.MICEX10INDEX;D;20090622;000000;2151.5700000;2151.5700000;1954.0600000;1955.7800000;17371311797
RI.MICEX10INDEX;D;20090623;000000;1929.9200000;2021.1900000;1813.6000000;1925.1200000;42857602375
RI.MICEX10INDEX;D;20090624;000000;1970.9000000;2109.7800000;1963.5600000;2107.3200000;32594014194
RI.MICEX10INDEX;D;20090625;000000;2111.8200000;2132.6100000;2025.7500000;2066.6600000;59601616802
RI.MICEX10INDEX;D;20090626;000000;2124.0800000;2153.5100000;2049.7900000;2050.2400000;57803071294
RI.MICEX10INDEX;D;20090629;000000;2027.6600000;2104.0200000;2011.4400000;2103.3900000;55244140029
RI.MICEX10INDEX;D;20090630;000000;2140.0900000;2153.5800000;2034.3300000;2035.6100000;56277779503
RI.MICEX10INDEX;D;20090701;000000;2059.9400000;2138.3000000;2046.4200000;2137.0100000;54864125751
RI.MICEX10INDEX;D;20090702;000000;2115.0000000;2115.2600000;2047.1400000;2067.1100000;36906569322
